"HITId","HITTypeId","Title","CreationTime","MaxAssignments","AssignmentDurationInSeconds","AssignmentId","WorkerId","AcceptTime","SubmitTime","WorkTimeInSeconds","Input.id","Input.payload","Answer.audio","Answer.neither","Answer.ocr","Answer.sanity-check","Answer.video","Turkle.Username"
"937310","1098","Eval Paper Grounding Judgments","Wed Sep 10 19:57:50 UTC 2025","1","86400","74657","248","Tue Sep 16 14:19:33 UTC 2025","Tue Sep 16 14:19:40 UTC 2025","7","Launch and commissioning of the James Webb Space Telescope_10","{""Wiki_Title"": ""Launch and commissioning of the James Webb Space Telescope"", ""Claim_Sentence"": ""As the largest and most powerful space telescope ever built, it is intended to succeed the Hubble Space Telescope as the premier space observatory of the 2020s."", ""Extracted_Claims"": [""The James Webb Space Telescope is the largest space telescope ever built"", ""The James Webb Space Telescope is the most powerful space telescope ever built"", ""The James Webb Space Telescope is intended to succeed the Hubble Space Telescope"", ""The James Webb Space Telescope aims to become the premier space observatory of the 2020s""], ""Video_Url"": ""https://cs.jhu.edu/~amart233/videos/1456695148067295233.mp4""}","[false,false,false,false]","[true,true,true,true]","[false,false,false,false]","","[false,false,false,false]","amart233"
"937311","1098","Eval Paper Grounding Judgments","Wed Sep 10 19:57:50 UTC 2025","1","86400","74658","248","Tue Sep 16 14:19:40 UTC 2025","Tue Sep 16 14:19:46 UTC 2025","6","Launch and commissioning of the James Webb Space Telescope_11","{""Wiki_Title"": ""Launch and commissioning of the James Webb Space Telescope"", ""Claim_Sentence"": ""The JWST project was initiated by NASA in collaboration with the European Space Agency (ESA) and the Canadian Space Agency (CSA)."", ""Extracted_Claims"": [""The JWST project was initiated by NASA"", ""The JWST project involves collaboration with the European Space Agency (ESA)"", ""The JWST project involves collaboration with the Canadian Space Agency (CSA)""], ""Video_Url"": ""https://cs.jhu.edu/~amart233/videos/1456695148067295233.mp4""}","[false,false,false]","[true,true,true]","[false,false,false]","","[false,false,false]","amart233"
"937312","1098","Eval Paper Grounding Judgments","Wed Sep 10 19:57:50 UTC 2025","1","86400","74659","248","Tue Sep 16 14:19:46 UTC 2025","Tue Sep 16 14:19:54 UTC 2025","8","Launch and commissioning of the James Webb Space Telescope_12","{""Wiki_Title"": ""Launch and commissioning of the James Webb Space Telescope"", ""Claim_Sentence"": ""After years of development and multiple delays, the telescope was successfully launched on December 25, 2021, from the ELA-3 launch pad at the Guiana Space Centre in Kourou, French Guiana, aboard an Ariane 5 rocket."", ""Extracted_Claims"": [""The telescope underwent years of development"", ""The launch of the telescope faced multiple delays"", ""The telescope was successfully launched"", ""The launch date was December 25, 2021"", ""The launch took place from the ELA-3 launch pad"", ""The launch site was the Guiana Space Centre"", ""The Guiana Space Centre is located in Kourou, French Guiana"", ""The Ariane 5 rocket was used for the launch""], ""Video_Url"": ""https://cs.jhu.edu/~amart233/videos/1456695148067295233.mp4""}","[false,false,false,false,false,false,false,false]","[true,true,true,true,true,true,true,true]","[false,false,false,false,false,false,false,false]","","[false,false,false,false,false,false,false,false]","amart233"
"937313","1098","Eval Paper Grounding Judgments","Wed Sep 10 19:57:50 UTC 2025","1","86400","74660","248","Tue Sep 16 14:19:54 UTC 2025","Tue Sep 16 14:20:00 UTC 2025","6","Launch and commissioning of the James Webb Space Telescope_13","{""Wiki_Title"": ""Launch and commissioning of the James Webb Space Telescope"", ""Claim_Sentence"": ""Following its launch, the JWST began a complex deployment sequence, which included unfolding its sunshield and primary mirror segments."", ""Extracted_Claims"": [""The JWST began a deployment sequence after its launch"", ""The deployment sequence was complex"", ""Unfolding the sunshield was part of the deployment sequence"", ""Unfolding the primary mirror segments was part of the deployment sequence""], ""Video_Url"": ""https://cs.jhu.edu/~amart233/videos/1456695148067295233.mp4""}","[false,false,false,false]","[true,true,true,true]","[false,false,false,false]","","[false,false,false,false]","amart233"
"937314","1098","Eval Paper Grounding Judgments","Wed Sep 10 19:57:50 UTC 2025","1","86400","74661","248","Tue Sep 16 14:20:00 UTC 2025","Tue Sep 16 14:20:04 UTC 2025","4","Launch and commissioning of the James Webb Space Telescope_14","{""Wiki_Title"": ""Launch and commissioning of the James Webb Space Telescope"", ""Claim_Sentence"": ""This process, critical for the telescope's operation, was completed without major issues by January 8, 2022."", ""Extracted_Claims"": [""The process was critical for the telescope's operation"", ""The process was completed by January 8, 2022"", ""There were no major issues during the completion of the process""], ""Video_Url"": ""https://cs.jhu.edu/~amart233/videos/1456695148067295233.mp4""}","[false,false,false]","[true,true,true]","[false,false,false]","","[false,false,false]","amart233"
"937315","1098","Eval Paper Grounding Judgments","Wed Sep 10 19:57:50 UTC 2025","1","86400","74662","248","Tue Sep 16 14:20:04 UTC 2025","Tue Sep 16 14:20:09 UTC 2025","5","Launch and commissioning of the James Webb Space Telescope_15","{""Wiki_Title"": ""Launch and commissioning of the James Webb Space Telescope"", ""Claim_Sentence"": ""The telescope then proceeded to its operational orbit around the second Lagrange point (L2), approximately 1.5 million kilometers from Earth, where it arrived on January 24, 2022."", ""Extracted_Claims"": [""The telescope proceeded to its operational orbit"", ""The operational orbit is around the second Lagrange point (L2)"", ""The distance from Earth to the L2 point is approximately 1.5 million kilometers"", ""The telescope arrived at the L2 point on January 24, 2022""], ""Video_Url"": ""https://cs.jhu.edu/~amart233/videos/1456695148067295233.mp4""}","[false,false,false,false]","[true,true,true,true]","[false,false,false,false]","","[false,false,false,false]","amart233"
"937316","1098","Eval Paper Grounding Judgments","Wed Sep 10 19:57:50 UTC 2025","1","86400","74663","248","Tue Sep 16 14:20:10 UTC 2025","Tue Sep 16 14:20:15 UTC 2025","5","Launch and commissioning of the James Webb Space Telescope_16","{""Wiki_Title"": ""Launch and commissioning of the James Webb Space Telescope"", ""Claim_Sentence"": ""The subsequent months were dedicated to cooling the instruments to their operational temperatures, aligning the mirror segments, and calibrating the scientific instruments."", ""Extracted_Claims"": [""Months were dedicated to cooling the instruments"", ""The instruments needed to reach their operational temperatures"", ""Months were dedicated to aligning the mirror segments"", ""Months were dedicated to calibrating the scientific instruments""], ""Video_Url"": ""https://cs.jhu.edu/~amart233/videos/1456695148067295233.mp4""}","[false,false,false,false]","[true,true,true,true]","[false,false,false,false]","","[false,false,false,false]","amart233"
"937317","1098","Eval Paper Grounding Judgments","Wed Sep 10 19:57:50 UTC 2025","1","86400","74664","248","Tue Sep 16 14:20:15 UTC 2025","Tue Sep 16 14:20:21 UTC 2025","6","Launch and commissioning of the James Webb Space Telescope_17","{""Wiki_Title"": ""Launch and commissioning of the James Webb Space Telescope"", ""Claim_Sentence"": ""The JWST was officially declared operational and ready for science observations on July 12, 2022, marking the beginning of its mission to explore the early universe, study the atmospheres of exoplanets, and observe some of the most distant galaxies and objects in the cosmos."", ""Extracted_Claims"": [""The JWST was officially declared operational on July 12, 2022"", ""The JWST was declared ready for science observations on July 12, 2022"", ""July 12, 2022 marks the beginning of the JWST's mission"", ""One of the JWST's missions is to explore the early universe"", ""Another mission of the JWST is to study the atmospheres of exoplanets"", ""The JWST is tasked with observing some of the most distant galaxies and objects in the cosmos""], ""Video_Url"": ""https://cs.jhu.edu/~amart233/videos/1456695148067295233.mp4""}","[false,false,false,false,false,false]","[true,true,true,true,true,true]","[false,false,false,false,false,false]","","[false,false,false,false,false,false]","amart233"
"937318","1098","Eval Paper Grounding Judgments","Wed Sep 10 19:57:50 UTC 2025","1","86400","74665","248","Tue Sep 16 14:20:21 UTC 2025","Tue Sep 16 14:22:15 UTC 2025","114","Launch and commissioning of the James Webb Space Telescope_18","{""Wiki_Title"": ""Launch and commissioning of the James Webb Space Telescope"", ""Claim_Sentence"": ""The James Webb Space Telescope (JWST) is a space telescope designed primarily to conduct infrared astronomy."", ""Extracted_Claims"": [""The James Webb Space Telescope (JWST) is a space telescope"", ""The JWST is designed primarily for infrared astronomy""], ""Video_Url"": ""https://cs.jhu.edu/~amart233/videos/1474877674166398979.mp4""}","[false,false]","[false,true]","[false,false]","","[true,false]","amart233"
"937319","1098","Eval Paper Grounding Judgments","Wed Sep 10 19:57:50 UTC 2025","1","86400","74666","248","Tue Sep 16 14:22:15 UTC 2025","Tue Sep 16 14:23:14 UTC 2025","59","Launch and commissioning of the James Webb Space Telescope_19","{""Wiki_Title"": ""Launch and commissioning of the James Webb Space Telescope"", ""Claim_Sentence"": ""As the largest and most powerful space telescope ever built, it is intended to succeed the Hubble Space Telescope as the premier space observatory of the 2020s."", ""Extracted_Claims"": [""The James Webb Space Telescope is the largest space telescope ever built"", ""The James Webb Space Telescope is the most powerful space telescope ever built"", ""The James Webb Space Telescope is intended to succeed the Hubble Space Telescope"", ""The James Webb Space Telescope aims to become the premier space observatory of the 2020s""], ""Video_Url"": ""https://cs.jhu.edu/~amart233/videos/1474877674166398979.mp4""}","[false,false,false,false]","[true,true,true,true]","[false,false,false,false]","","[false,false,false,false]","amart233"
"937320","1098","Eval Paper Grounding Judgments","Wed Sep 10 19:57:50 UTC 2025","1","86400","74667","248","Tue Sep 16 14:23:14 UTC 2025","Tue Sep 16 14:23:39 UTC 2025","25","Launch and commissioning of the James Webb Space Telescope_20","{""Wiki_Title"": ""Launch and commissioning of the James Webb Space Telescope"", ""Claim_Sentence"": ""The JWST project was initiated by NASA in collaboration with the European Space Agency (ESA) and the Canadian Space Agency (CSA)."", ""Extracted_Claims"": [""The JWST project was initiated by NASA"", ""The JWST project involves collaboration with the European Space Agency (ESA)"", ""The JWST project involves collaboration with the Canadian Space Agency (CSA)""], ""Video_Url"": ""https://cs.jhu.edu/~amart233/videos/1474877674166398979.mp4""}","[false,false,false]","[true,true,true]","[false,false,false]","","[false,false,false]","amart233"
"937321","1098","Eval Paper Grounding Judgments","Wed Sep 10 19:57:50 UTC 2025","1","86400","74668","248","Tue Sep 16 14:23:39 UTC 2025","Tue Sep 16 14:24:36 UTC 2025","57","Launch and commissioning of the James Webb Space Telescope_21","{""Wiki_Title"": ""Launch and commissioning of the James Webb Space Telescope"", ""Claim_Sentence"": ""After years of development and multiple delays, the telescope was successfully launched on December 25, 2021, from the ELA-3 launch pad at the Guiana Space Centre in Kourou, French Guiana, aboard an Ariane 5 rocket."", ""Extracted_Claims"": [""The telescope underwent years of development"", ""The launch of the telescope faced multiple delays"", ""The telescope was successfully launched"", ""The launch date was December 25, 2021"", ""The launch took place from the ELA-3 launch pad"", ""The launch site was the Guiana Space Centre"", ""The Guiana Space Centre is located in Kourou, French Guiana"", ""The Ariane 5 rocket was used for the launch""], ""Video_Url"": ""https://cs.jhu.edu/~amart233/videos/1474877674166398979.mp4""}","[false,false,false,false,false,false,false,false]","[true,true,true,true,true,true,false,true]","[false,false,false,false,false,false,false,false]","","[false,false,false,false,false,false,true,false]","amart233"
"937322","1098","Eval Paper Grounding Judgments","Wed Sep 10 19:57:50 UTC 2025","1","86400","74669","248","Tue Sep 16 14:24:36 UTC 2025","Tue Sep 16 14:24:44 UTC 2025","8","Launch and commissioning of the James Webb Space Telescope_22","{""Wiki_Title"": ""Launch and commissioning of the James Webb Space Telescope"", ""Claim_Sentence"": ""Following its launch, the JWST began a complex deployment sequence, which included unfolding its sunshield and primary mirror segments."", ""Extracted_Claims"": [""The JWST began a deployment sequence after its launch"", ""The deployment sequence was complex"", ""Unfolding the sunshield was part of the deployment sequence"", ""Unfolding the primary mirror segments was part of the deployment sequence""], ""Video_Url"": ""https://cs.jhu.edu/~amart233/videos/1474877674166398979.mp4""}","[false,false,false,false]","[false,true,true,true]","[false,false,false,false]","","[true,false,false,false]","amart233"
"937323","1098","Eval Paper Grounding Judgments","Wed Sep 10 19:57:50 UTC 2025","1","86400","74670","248","Tue Sep 16 14:24:44 UTC 2025","Tue Sep 16 14:24:49 UTC 2025","5","Launch and commissioning of the James Webb Space Telescope_23","{""Wiki_Title"": ""Launch and commissioning of the James Webb Space Telescope"", ""Claim_Sentence"": ""This process, critical for the telescope's operation, was completed without major issues by January 8, 2022."", ""Extracted_Claims"": [""The process was critical for the telescope's operation"", ""The process was completed by January 8, 2022"", ""There were no major issues during the completion of the process""], ""Video_Url"": ""https://cs.jhu.edu/~amart233/videos/1474877674166398979.mp4""}","[false,false,false]","[true,true,true]","[false,false,false]","","[false,false,false]","amart233"
"937324","1098","Eval Paper Grounding Judgments","Wed Sep 10 19:57:50 UTC 2025","1","86400","74671","248","Tue Sep 16 14:24:49 UTC 2025","Tue Sep 16 14:24:54 UTC 2025","5","Launch and commissioning of the James Webb Space Telescope_24","{""Wiki_Title"": ""Launch and commissioning of the James Webb Space Telescope"", ""Claim_Sentence"": ""The telescope then proceeded to its operational orbit around the second Lagrange point (L2), approximately 1.5 million kilometers from Earth, where it arrived on January 24, 2022."", ""Extracted_Claims"": [""The telescope proceeded to its operational orbit"", ""The operational orbit is around the second Lagrange point (L2)"", ""The distance from Earth to the L2 point is approximately 1.5 million kilometers"", ""The telescope arrived at the L2 point on January 24, 2022""], ""Video_Url"": ""https://cs.jhu.edu/~amart233/videos/1474877674166398979.mp4""}","[false,false,false,false]","[true,true,true,true]","[false,false,false,false]","","[false,false,false,false]","amart233"
"937325","1098","Eval Paper Grounding Judgments","Wed Sep 10 19:57:50 UTC 2025","1","86400","74672","248","Tue Sep 16 14:24:54 UTC 2025","Tue Sep 16 14:25:02 UTC 2025","8","Launch and commissioning of the James Webb Space Telescope_25","{""Wiki_Title"": ""Launch and commissioning of the James Webb Space Telescope"", ""Claim_Sentence"": ""The subsequent months were dedicated to cooling the instruments to their operational temperatures, aligning the mirror segments, and calibrating the scientific instruments."", ""Extracted_Claims"": [""Months were dedicated to cooling the instruments"", ""The instruments needed to reach their operational temperatures"", ""Months were dedicated to aligning the mirror segments"", ""Months were dedicated to calibrating the scientific instruments""], ""Video_Url"": ""https://cs.jhu.edu/~amart233/videos/1474877674166398979.mp4""}","[false,false,false,false]","[true,true,true,true]","[false,false,false,false]","","[false,false,false,false]","amart233"
"937326","1098","Eval Paper Grounding Judgments","Wed Sep 10 19:57:50 UTC 2025","1","86400","74673","248","Tue Sep 16 14:25:02 UTC 2025","Tue Sep 16 14:25:10 UTC 2025","8","Launch and commissioning of the James Webb Space Telescope_26","{""Wiki_Title"": ""Launch and commissioning of the James Webb Space Telescope"", ""Claim_Sentence"": ""The JWST was officially declared operational and ready for science observations on July 12, 2022, marking the beginning of its mission to explore the early universe, study the atmospheres of exoplanets, and observe some of the most distant galaxies and objects in the cosmos."", ""Extracted_Claims"": [""The JWST was officially declared operational on July 12, 2022"", ""The JWST was declared ready for science observations on July 12, 2022"", ""July 12, 2022 marks the beginning of the JWST's mission"", ""One of the JWST's missions is to explore the early universe"", ""Another mission of the JWST is to study the atmospheres of exoplanets"", ""The JWST is tasked with observing some of the most distant galaxies and objects in the cosmos""], ""Video_Url"": ""https://cs.jhu.edu/~amart233/videos/1474877674166398979.mp4""}","[false,false,false,false,false,false]","[true,true,true,true,true,true]","[false,false,false,false,false,false]","","[false,false,false,false,false,false]","amart233"
"937327","1098","Eval Paper Grounding Judgments","Wed Sep 10 19:57:50 UTC 2025","1","86400","74758","248","Mon Sep 22 15:00:56 UTC 2025","Mon Sep 22 15:01:24 UTC 2025","28","Launch and commissioning of the James Webb Space Telescope_27","{""Wiki_Title"": ""Launch and commissioning of the James Webb Space Telescope"", ""Claim_Sentence"": ""The James Webb Space Telescope (JWST) is a space telescope designed primarily to conduct infrared astronomy."", ""Extracted_Claims"": [""The James Webb Space Telescope (JWST) is a space telescope"", ""The JWST is designed primarily for infrared astronomy""], ""Video_Url"": ""https://cs.jhu.edu/~amart233/videos/1474757847477104648.mp4""}","[false,false]","[false,false]","[false,false]","","[true,true]","amart233"
"937328","1098","Eval Paper Grounding Judgments","Wed Sep 10 19:57:50 UTC 2025","1","86400","74759","248","Mon Sep 22 15:01:24 UTC 2025","Mon Sep 22 15:02:32 UTC 2025","68","Launch and commissioning of the James Webb Space Telescope_28","{""Wiki_Title"": ""Launch and commissioning of the James Webb Space Telescope"", ""Claim_Sentence"": ""As the largest and most powerful space telescope ever built, it is intended to succeed the Hubble Space Telescope as the premier space observatory of the 2020s."", ""Extracted_Claims"": [""The James Webb Space Telescope is the largest space telescope ever built"", ""The James Webb Space Telescope is the most powerful space telescope ever built"", ""The James Webb Space Telescope is intended to succeed the Hubble Space Telescope"", ""The James Webb Space Telescope aims to become the premier space observatory of the 2020s""], ""Video_Url"": ""https://cs.jhu.edu/~amart233/videos/1474757847477104648.mp4""}","[false,false,false,false]","[true,true,false,true]","[false,false,false,false]","","[false,false,true,false]","amart233"
"937329","1098","Eval Paper Grounding Judgments","Wed Sep 10 19:57:50 UTC 2025","1","86400","74760","248","Mon Sep 22 15:02:33 UTC 2025","Mon Sep 22 15:03:08 UTC 2025","35","Launch and commissioning of the James Webb Space Telescope_29","{""Wiki_Title"": ""Launch and commissioning of the James Webb Space Telescope"", ""Claim_Sentence"": ""The JWST project was initiated by NASA in collaboration with the European Space Agency (ESA) and the Canadian Space Agency (CSA)."", ""Extracted_Claims"": [""The JWST project was initiated by NASA"", ""The JWST project involves collaboration with the European Space Agency (ESA)"", ""The JWST project involves collaboration with the Canadian Space Agency (CSA)""], ""Video_Url"": ""https://cs.jhu.edu/~amart233/videos/1474757847477104648.mp4""}","[false,false,false]","[true,true,true]","[false,false,false]","","[false,false,false]","amart233"
"937330","1098","Eval Paper Grounding Judgments","Wed Sep 10 19:57:50 UTC 2025","1","86400","74761","248","Mon Sep 22 15:03:08 UTC 2025","Mon Sep 22 15:03:25 UTC 2025","17","Launch and commissioning of the James Webb Space Telescope_30","{""Wiki_Title"": ""Launch and commissioning of the James Webb Space Telescope"", ""Claim_Sentence"": ""After years of development and multiple delays, the telescope was successfully launched on December 25, 2021, from the ELA-3 launch pad at the Guiana Space Centre in Kourou, French Guiana, aboard an Ariane 5 rocket."", ""Extracted_Claims"": [""The telescope underwent years of development"", ""The launch of the telescope faced multiple delays"", ""The telescope was successfully launched"", ""The launch date was December 25, 2021"", ""The launch took place from the ELA-3 launch pad"", ""The launch site was the Guiana Space Centre"", ""The Guiana Space Centre is located in Kourou, French Guiana"", ""The Ariane 5 rocket was used for the launch""], ""Video_Url"": ""https://cs.jhu.edu/~amart233/videos/1474757847477104648.mp4""}","[false,false,false,false,false,false,false,false]","[true,true,true,true,true,true,true,true]","[false,false,false,false,false,false,false,false]","","[false,false,false,false,false,false,false,false]","amart233"
"937331","1098","Eval Paper Grounding Judgments","Wed Sep 10 19:57:50 UTC 2025","1","86400","74762","248","Mon Sep 22 15:03:25 UTC 2025","Mon Sep 22 15:03:38 UTC 2025","13","Launch and commissioning of the James Webb Space Telescope_31","{""Wiki_Title"": ""Launch and commissioning of the James Webb Space Telescope"", ""Claim_Sentence"": ""Following its launch, the JWST began a complex deployment sequence, which included unfolding its sunshield and primary mirror segments."", ""Extracted_Claims"": [""The JWST began a deployment sequence after its launch"", ""The deployment sequence was complex"", ""Unfolding the sunshield was part of the deployment sequence"", ""Unfolding the primary mirror segments was part of the deployment sequence""], ""Video_Url"": ""https://cs.jhu.edu/~amart233/videos/1474757847477104648.mp4""}","[false,false,false,false]","[true,true,true,true]","[false,false,false,false]","","[false,false,false,false]","amart233"
